vaca_id;edad_meses;color;cachona;peso_kg;condicion_corporal;estado_salud;edad_primer_parto_meses;num_partos;intervalo_partos_meses;meses_desde_ultimo_parto;perdida_cria;produccion_leche_lt_dia;candidata_descarte;clasificacion_reproductiva
S00026;103.2;atigrado;1;439.9;2.7;nuche;27.0;6;13.4;12.6;0;6.5;0;Buena
S00027;182.1;crema;0;498.3;3.1;sana;26.0;12;13.9;7.7;0;8.7;0;Buena
S00028;151.2;rojo;0;442.3;2.3;sana;37.3;8;17.3;11.7;1;5.3;1;Mala
S00029;149.3;blanco;0;526.7;3.7;sana;33.9;9;13.9;2.0;0;8.9;0;Buena
S00030;154.3;negro;0;508.9;3.6;sana;35.5;9;15.0;12.9;0;6.8;1;Regular
S00031;159.8;blanco;0;465.7;3.2;sana;38.7;10;15.4;11.6;1;7.5;0;Regular
S00032;101.7;crema;0;466.9;3.2;sana;37.8;4;13.9;6.7;0;8.6;0;Buena
S00033;72.1;rojo;0;489.8;3.8;sana;26.4;3;12.6;5.9;0;9.0;0;Buena
S00034;154.5;cafe;1;443.9;2.9;nuche;33.2;9;16.2;13.5;0;6.0;0;Regular
S00035;174.3;negro;1;454.9;2.7;sana;30.2;11;14.0;13.7;0;7.3;0;Buena
S00036;138.1;amarillo;0;462.5;2.6;nuche;26.9;9;14.8;4.1;0;5.8;0;Regular
S00037;108.4;blanco;1;433.7;2.6;enferma;27.6;7;15.3;12.8;0;5.6;1;Regular
S00038;53.6;cafe;0;416.1;2.8;sana;29.9;1;11.9;3.7;0;7.0;0;Buena
S00039;175.8;rojo;0;482.1;2.9;sana;33.5;10;17.1;13.6;1;6.7;1;Regular
S00040;137.9;amarillo;0;502.8;4.0;sana;30.7;8;12.3;1.9;0;9.4;0;Buena
S00041;130.9;crema;0;498.3;4.2;sana;37.2;7;13.8;6.2;0;8.1;0;Buena
S00042;87.8;negro;0;460.0;3.0;sana;29.7;5;10.7;5.5;0;8.2;0;Buena
S00043;121.5;rojo;0;469.1;3.5;sana;31.2;7;12.7;4.7;0;8.1;0;Buena
S00044;120.8;rojo;0;456.6;2.5;sana;27.7;7;13.1;2.5;0;6.9;0;Buena
S00045;153.1;blanco;0;476.4;3.2;sana;28.7;9;13.9;0.8;0;9.4;0;Buena
S00046;151.9;amarillo;1;487.6;4.1;sana;31.7;9;14.0;0.9;0;8.8;0;Buena
S00047;59.4;pardo;0;457.5;3.1;sana;28.0;2;11.0;4.2;0;7.6;0;Buena
S00048;102.0;negro;1;446.9;2.7;enferma;25.6;5;15.5;8.6;0;6.5;0;Regular
S00049;108.4;amarillo;0;487.8;4.0;sana;37.8;6;12.9;10.4;0;9.0;0;Buena
S00050;58.9;rojo;1;443.2;3.2;sana;36.7;1;13.5;4.1;0;8.3;0;Buena
S00051;103.4;blanco;0;455.5;2.6;sana;33.7;6;11.9;0.2;0;7.2;0;Excelente
S00052;153.5;rojo;0;461.9;2.3;sana;28.5;9;15.1;6.2;0;6.5;1;Regular
S00053;99.4;negro;0;491.6;3.3;sana;36.2;5;15.6;12.9;1;7.2;0;Regular
S00054;44.3;negro;0;471.3;3.6;sana;31.1;2;12.0;5.8;0;8.5;0;Buena
S00055;145.3;rojo;1;464.6;2.6;sana;27.6;9;17.6;5.1;1;5.0;1;Mala
S00056;108.7;negro;1;472.8;3.4;sana;33.6;5;17.6;13.9;1;7.3;0;Regular
S00057;165.0;negro;0;445.4;1.9;nuche;31.1;10;19.3;18.9;1;5.0;1;Mala
S00058;99.3;rojo;0;443.1;2.4;nuche;30.1;5;15.0;1.9;0;5.6;1;Regular
S00059;166.1;amarillo;0;489.0;3.4;sana;26.3;10;15.9;9.9;0;7.4;1;Regular
S00060;139.9;negro;0;480.1;3.2;sana;38.2;7;13.7;3.9;0;8.2;0;Buena
S00061;153.1;blanco;1;470.7;3.3;sana;28.8;10;14.5;3.5;0;7.6;1;Regular
S00062;63.0;blanco;0;440.6;3.1;sana;32.0;2;11.6;10.4;0;8.0;0;Buena
S00063;47.4;cafe;0;467.3;4.5;sana;39.4;1;10.7;1.1;0;10.4;0;Excelente
S00064;143.7;amarillo;0;493.3;3.0;sana;24.1;9;15.8;13.2;0;6.3;1;Regular
S00065;159.5;rojo;1;489.2;3.3;sana;36.1;9;14.7;0.6;0;7.0;1;Regular
S00066;56.2;crema;0;481.4;3.5;sana;27.2;2;11.2;1.8;0;8.4;0;Excelente
S00067;81.5;pardo;0;447.4;2.9;sana;25.2;4;11.8;10.0;0;7.6;0;Buena
S00068;76.7;amarillo;0;480.5;3.8;sana;28.2;3;11.6;7.2;0;8.3;0;Buena
S00069;135.7;blanco;0;466.9;3.1;sana;34.4;8;19.4;10.4;1;6.5;0;Mala
S00070;143.3;negro;0;474.4;2.8;sana;38.2;8;12.2;8.4;0;8.3;0;Buena
S00071;91.9;atigrado;0;434.0;2.4;nuche;34.3;5;17.4;1.6;0;6.6;0;Regular
S00072;43.8;rojo;0;447.4;3.1;sana;27.3;1;10.2;7.9;0;7.1;0;Buena
S00073;187.5;atigrado;0;504.1;3.6;sana;25.8;12;16.1;0.8;1;6.7;0;Regular
S00074;109.3;careto;0;466.0;2.5;sana;32.1;5;16.5;15.9;1;6.7;0;Regular
S00075;141.7;negro;0;475.8;3.6;sana;25.3;8;16.3;16.2;1;7.3;0;Regular
S00076;51.3;blanco;0;450.3;3.5;sana;36.3;1;11.5;5.2;0;8.4;0;Buena
S00077;138.4;rojo;1;438.5;2.5;nuche;25.1;8;20.1;11.7;1;4.7;1;Mala
S00078;90.5;blanco;0;441.4;2.9;nuche;35.5;4;14.5;9.5;0;6.5;0;Regular
S00079;92.6;blanco;0;451.0;2.8;sana;37.5;4;11.9;0.3;0;7.7;0;Regular
S00080;90.1;rojo;1;476.4;3.6;sana;25.1;5;13.5;6.1;0;8.8;0;Buena
S00081;181.0;blanco;0;484.9;3.3;sana;36.1;12;15.9;3.4;1;7.1;1;Regular
S00082;140.4;blanco;0;507.4;4.0;sana;27.5;8;17.1;4.9;1;8.3;0;Regular
S00083;55.9;negro;1;440.7;3.0;sana;34.7;1;12.3;1.0;0;8.4;0;Buena
S00084;134.6;rojo;0;429.3;2.2;enferma;26.7;8;15.6;1.7;0;5.8;1;Regular
S00085;170.1;blanco;1;496.8;3.7;sana;25.2;11;14.7;14.1;0;7.3;1;Regular
S00086;75.4;rojo;1;476.1;3.5;sana;25.2;3;11.3;7.7;0;7.7;0;Buena
S00087;85.8;atigrado;0;471.6;3.2;sana;31.5;4;11.9;5.5;0;8.1;0;Buena
S00088;135.3;atigrado;1;486.1;3.3;sana;30.2;8;13.5;7.7;0;8.8;0;Buena
S00089;183.5;negro;0;488.0;3.3;sana;39.7;12;15.9;8.3;0;6.8;0;Regular
S00090;95.7;careto;0;482.0;3.3;sana;34.1;4;12.3;10.5;0;7.9;0;Buena
S00091;48.6;blanco;0;446.6;3.3;sana;34.5;1;11.9;7.7;0;8.3;0;Buena
S00092;181.9;atigrado;0;509.8;3.6;sana;34.7;11;16.4;3.1;1;6.5;1;Mala
S00093;157.4;negro;0;477.4;3.1;sana;32.4;9;13.3;2.4;0;7.1;0;Buena
S00094;147.1;amarillo;0;480.9;2.9;sana;39.5;8;14.3;13.8;0;5.5;1;Regular
S00095;140.5;negro;0;494.8;3.3;sana;36.4;8;14.2;12.4;0;7.4;0;Regular
S00096;179.9;blanco;0;505.7;3.3;sana;25.3;12;12.3;11.2;0;6.9;0;Buena
S00097;99.9;rojo;0;502.4;3.7;sana;25.3;6;13.9;2.0;0;8.7;0;Buena
S00098;164.0;blanco;0;494.9;3.5;sana;38.5;10;18.2;14.1;1;6.8;1;Mala
S00099;134.4;blanco;1;465.8;3.1;sana;32.0;7;12.5;0.0;0;8.5;0;Buena
S00100;138.9;negro;0;430.3;2.3;enferma;32.7;8;18.2;7.0;0;5.5;1;Mala
S00101;46.4;rojo;0;444.2;3.7;sana;33.3;1;11.4;9.5;0;6.9;0;Buena
S00102;64.1;amarillo;0;423.5;2.3;nuche;24.6;4;14.7;5.9;0;5.0;1;Regular
S00103;135.6;rojo;0;480.4;3.5;sana;34.5;8;12.6;12.1;0;8.6;0;Buena
S00104;92.6;pardo;1;470.1;3.7;sana;30.8;4;13.4;4.4;0;9.1;0;Buena
S00105;61.7;negro;0;433.4;2.9;sana;38.6;1;11.6;7.8;0;8.1;0;Buena
S00106;60.6;amarillo;0;452.5;2.9;sana;31.0;3;11.2;0.4;0;9.1;0;Excelente
S00107;104.4;amarillo;1;486.6;3.4;sana;29.0;6;13.5;12.3;0;8.9;0;Buena
S00108;69.0;blanco;0;452.9;3.0;enferma;27.2;4;17.6;17.0;1;6.2;0;Regular
S00109;120.7;rojo;0;482.6;3.6;sana;35.4;6;13.2;10.5;0;9.0;0;Buena
S00110;124.1;negro;0;463.9;3.0;sana;38.1;7;13.2;5.4;0;7.7;0;Buena
S00111;47.4;negro;0;454.1;3.2;sana;37.3;1;12.0;10.4;0;7.3;0;Buena
S00112;60.9;crema;1;446.6;3.0;nuche;32.3;3;17.7;10.9;1;5.9;1;Mala
S00113;125.4;rojo;0;438.9;2.1;nuche;29.4;7;18.7;4.9;1;5.3;1;Mala
S00114;40.7;jaspeado;0;437.5;3.4;sana;28.8;1;10.7;1.7;0;9.4;0;Excelente
S00115;58.1;pardo;0;420.7;2.8;enferma;29.5;2;14.0;1.7;0;7.1;1;Buena
S00116;181.6;pardo;0;435.0;2.3;enferma;38.4;11;17.0;16.9;0;5.9;1;Regular
S00117;49.9;rojo;0;449.2;3.0;sana;33.3;2;10.1;2.9;0;7.8;0;Buena
S00118;76.7;rojo;0;475.9;3.7;sana;24.8;3;12.4;6.8;0;7.7;0;Buena
S00119;55.8;amarillo;0;413.4;2.0;enferma;32.9;1;16.6;11.8;1;3.8;1;Mala
S00120;173.5;amarillo;0;478.6;3.2;sana;30.3;11;13.3;6.5;0;7.7;1;Buena
S00121;87.0;amarillo;0;453.3;3.2;sana;38.4;3;12.5;12.2;0;7.8;1;Buena
S00122;110.0;negro;0;458.1;3.2;sana;30.1;6;11.7;5.2;0;8.3;0;Buena
S00123;113.3;blanco;0;476.3;2.9;sana;35.6;5;10.4;3.9;0;7.5;0;Buena
S00124;120.1;blanco;0;495.1;3.3;sana;36.9;7;14.0;13.2;0;8.0;0;Buena
S00125;142.3;negro;0;468.6;3.2;sana;39.0;7;13.2;5.2;0;8.8;0;Buena
S00126;42.5;cafe;1;425.7;2.3;nuche;34.5;1;14.5;3.9;0;6.3;1;Regular
S00127;43.8;crema;1;455.3;3.2;sana;25.6;1;11.6;11.3;0;8.7;0;Buena
S00128;109.3;blanco;0;495.0;3.2;sana;28.6;7;12.2;10.4;0;8.3;0;Buena
S00129;165.0;crema;1;459.5;2.9;sana;36.6;10;14.8;4.4;0;6.0;1;Regular
S00130;106.0;blanco;0;432.3;2.3;nuche;26.1;6;15.6;10.1;0;5.6;1;Regular
S00131;81.4;blanco;1;442.0;3.7;sana;34.2;3;12.4;12.2;0;8.6;1;Buena
S00132;95.1;negro;1;482.3;3.6;sana;33.3;4;12.7;5.9;0;9.1;0;Buena
S00133;172.7;blanco;0;472.0;2.7;sana;39.1;10;18.3;6.8;1;4.5;1;Mala
S00134;159.5;pardo;0;500.7;3.3;sana;33.5;9;13.4;1.5;0;6.9;1;Buena
S00135;118.6;amarillo;0;452.0;2.9;sana;34.9;6;14.4;1.9;0;7.2;0;Regular
S00136;139.6;rojo;1;497.2;3.4;sana;24.0;9;14.6;13.1;1;7.2;1;Regular
S00137;63.7;amarillo;0;480.9;3.4;sana;39.4;1;10.7;0.9;0;8.8;0;Excelente
S00138;168.5;amarillo;0;457.0;2.2;sana;26.0;10;14.5;10.4;0;6.4;1;Regular
S00139;106.9;amarillo;1;447.7;2.3;nuche;36.2;6;13.6;3.3;0;6.9;0;Buena
S00140;139.5;pardo;1;492.8;3.2;sana;31.0;8;13.9;3.3;0;7.6;0;Buena
S00141;155.0;pardo;1;473.4;3.0;nuche;39.8;8;16.7;12.3;0;7.1;1;Regular
S00142;43.2;rojo;0;458.0;3.6;sana;32.4;1;11.6;2.8;0;9.5;0;Buena
S00143;107.3;amarillo;0;452.6;3.5;sana;32.5;5;13.2;4.9;0;8.0;1;Buena
S00144;94.1;blanco;1;479.1;3.6;sana;36.9;4;13.2;4.0;0;8.1;0;Buena
S00145;150.2;blanco;0;455.2;2.9;nuche;35.1;8;16.8;7.8;0;5.8;1;Regular
S00146;172.0;negro;0;475.6;3.2;sana;36.2;10;17.1;0.3;1;6.8;0;Regular
S00147;81.5;rojo;1;473.5;3.9;sana;27.9;4;11.6;8.4;0;7.9;0;Buena
S00148;90.2;amarillo;0;465.5;3.3;sana;38.2;4;11.0;9.0;0;8.1;0;Buena
S00149;133.1;amarillo;1;456.1;2.8;sana;31.3;8;15.5;0.2;0;6.6;1;Regular
S00150;147.2;negro;0;490.6;3.9;sana;35.2;8;15.1;3.6;0;7.4;0;Regular
S00151;158.4;amarillo;0;493.4;3.0;sana;27.9;10;14.1;9.2;0;7.0;1;Regular
S00152;109.3;blanco;0;467.5;3.0;sana;37.5;5;16.1;14.8;0;8.2;0;Regular
S00153;123.3;rojo;0;491.4;4.0;sana;28.5;7;14.2;8.3;0;7.8;0;Buena
S00154;47.8;amarillo;1;414.7;3.2;sana;30.2;1;12.0;8.7;0;8.0;1;Buena
S00155;103.3;pardo;0;448.9;3.2;sana;39.3;4;14.4;7.1;0;8.2;0;Regular
S00156;140.7;blanco;1;489.4;3.6;sana;36.8;7;17.7;5.6;1;7.5;1;Regular
S00157;91.4;rojo;1;463.7;3.5;sana;31.2;4;13.9;8.3;0;8.8;0;Buena
S00158;95.7;amarillo;0;417.6;2.3;nuche;39.7;4;17.8;1.1;1;5.0;1;Mala
S00159;47.8;rojo;1;472.7;4.2;sana;33.5;2;10.8;6.7;0;8.4;0;Buena
S00160;161.6;pardo;0;488.9;4.0;sana;29.1;10;15.7;10.9;1;7.8;1;Regular
S00161;93.9;pardo;0;455.5;3.0;sana;33.0;4;12.6;5.8;0;7.2;0;Buena
S00162;142.7;pardo;0;487.4;2.9;sana;32.0;8;13.1;1.0;0;7.7;0;Buena
S00163;114.0;crema;0;466.3;3.3;sana;36.7;5;12.3;9.5;0;7.6;0;Buena
S00164;42.8;atigrado;0;436.0;3.4;sana;36.0;1;12.5;6.5;0;7.8;0;Buena
S00165;96.2;careto;0;461.3;3.3;sana;29.5;6;12.8;1.8;1;6.9;1;Mala
S00166;110.4;negro;0;495.5;3.6;sana;29.1;6;14.6;9.9;0;8.9;1;Regular
S00167;62.9;amarillo;0;398.8;1.9;enferma;27.7;2;16.7;3.3;1;4.1;1;Mala
S00168;67.7;blanco;0;448.2;3.7;sana;25.6;3;11.7;10.1;0;8.3;0;Buena
S00169;130.1;blanco;0;498.9;3.9;sana;33.9;7;13.3;1.8;0;9.0;0;Buena
S00170;142.8;negro;0;467.2;2.9;sana;30.1;9;13.0;7.2;0;7.7;0;Buena
S00171;105.5;amarillo;0;479.2;3.4;sana;26.2;6;11.7;4.9;0;7.6;0;Buena
S00172;40.8;blanco;0;447.1;2.6;sana;32.6;1;11.6;1.3;0;9.0;0;Excelente
S00173;92.5;pardo;1;430.1;2.3;sana;32.7;4;16.4;7.4;1;6.3;1;Mala
S00174;189.1;careto;1;493.3;3.0;sana;33.4;11;14.7;3.0;0;7.1;1;Regular
S00175;79.3;negro;0;468.5;3.4;sana;28.6;4;13.9;13.4;0;6.8;0;Buena
S00176;169.5;amarillo;0;474.0;3.0;sana;35.4;10;14.0;3.8;0;8.1;0;Buena
S00177;171.5;amarillo;0;488.8;3.2;sana;39.0;10;14.5;10.6;0;6.4;0;Regular
S00178;91.2;amarillo;0;449.2;3.1;sana;30.9;5;13.0;7.4;0;7.9;0;Buena
S00179;43.5;amarillo;0;457.4;3.2;sana;26.0;1;14.3;9.8;0;7.7;1;Regular
S00180;179.6;rojo;0;495.3;3.3;sana;29.9;11;16.5;10.8;1;7.1;1;Regular
S00181;56.4;rojo;0;456.1;3.5;sana;35.1;1;11.9;4.6;0;8.0;0;Buena
S00182;171.7;amarillo;0;483.5;3.1;sana;26.1;11;16.7;12.1;1;6.7;1;Regular
S00183;141.7;pardo;1;490.9;3.1;sana;36.0;8;14.7;4.1;0;7.4;0;Regular
S00184;129.6;careto;0;499.7;3.2;sana;34.5;7;12.0;0.7;0;8.0;0;Excelente
S00185;53.4;negro;0;456.2;3.9;sana;39.6;1;13.6;5.0;0;7.7;0;Buena
S00186;154.6;amarillo;1;487.4;3.4;sana;24.6;11;11.9;4.9;0;7.9;0;Buena
S00187;130.9;rojo;0;504.2;3.7;sana;27.3;7;12.6;8.6;0;8.8;0;Buena
S00188;166.4;amarillo;1;473.3;2.6;sana;31.3;10;14.2;10.1;0;6.2;0;Regular
S00189;116.5;careto;0;471.0;2.4;sana;26.0;6;14.7;4.0;0;5.8;1;Mala
S00190;47.9;negro;0;454.6;3.7;sana;33.1;1;13.0;3.0;0;8.4;0;Buena
S00191;73.7;negro;0;433.0;2.9;sana;38.9;2;14.3;4.6;0;7.3;1;Regular
S00192;48.0;rojo;0;422.8;2.5;nuche;26.9;1;14.8;4.2;0;5.4;0;Regular
S00193;37.2;rojo;0;448.4;3.4;sana;34.0;1;10;9.0;0;7.7;1;Buena
S00194;99.1;rojo;0;452.9;2.6;sana;38.0;4;14.9;7.9;1;7.2;1;Regular
S00195;189.5;blanco;1;496.6;3.2;nuche;38.4;11;15.6;1.5;0;7.3;1;Regular
S00196;123.4;negro;0;474.2;2.9;sana;28.2;7;12.9;3.5;0;7.9;0;Buena
S00197;126.0;amarillo;1;495.5;3.7;sana;30.5;7;13.7;1.6;0;9.2;0;Buena
S00198;143.3;amarillo;0;496.9;3.4;sana;25.5;10;11.7;11.6;0;8.3;0;Buena
S00199;151.2;rojo;0;469.3;3.1;sana;26.2;10;14.1;5.2;0;6.4;0;Regular
S00200;75.9;pardo;1;441.1;2.8;sana;38.4;2;14.6;0.6;0;6.8;0;Regular
S00201;162.5;rojo;1;490.4;3.5;sana;26.8;11;15.9;3.9;1;7.0;1;Mala
S00202;45.4;rojo;1;428.0;2.8;sana;38.2;1;12.4;9.7;0;8.2;0;Buena
S00203;176.6;negro;0;492.8;3.0;sana;29.1;12;14.1;7.5;0;4.5;0;Regular
S00204;51.4;blanco;1;480.5;4.1;sana;38.7;1;12.5;4.4;0;7.8;0;Buena
S00205;127.2;pardo;0;452.6;2.4;nuche;24.5;7;14.8;14.6;0;5.3;1;Regular
S00206;111.5;amarillo;1;484.1;3.6;sana;32.4;7;12.9;11.9;0;7.9;1;Buena
S00207;126.3;crema;0;474.8;3.0;sana;37.8;6;14.9;4.5;0;7.2;0;Regular
S00208;157.9;atigrado;0;472.7;2.9;sana;39.5;9;14.5;2.5;0;7.7;1;Regular
S00209;148.2;cafe;0;477.4;2.7;sana;39.9;8;15.0;8.5;1;6.5;0;Regular
S00210;72.7;atigrado;1;429.5;2.3;nuche;25.4;3;15.7;3.9;0;5.9;1;Regular
S00211;36.2;rojo;0;408.6;2.8;enferma;38.2;1;13.4;11.6;0;6.3;1;Buena
S00212;47.4;pardo;0;473.6;3.8;sana;39.2;1;10.8;9.7;0;9.0;0;Buena
S00213;110.3;amarillo;0;472.5;3.4;sana;38.2;6;15.9;11.6;1;7.7;1;Regular
S00214;43.6;negro;0;441.6;2.8;sana;29.8;1;11.1;0.3;0;9.0;0;Excelente
S00215;165.9;rojo;0;500.5;3.8;sana;34.6;11;14.7;6.6;0;8.3;1;Regular
S00216;77.4;amarillo;0;464.9;3.3;sana;25.4;4;13.6;11.4;0;7.5;0;Buena
S00217;169.5;negro;0;489.7;3.4;sana;25.3;11;11.9;8.1;0;8.0;0;Buena
S00218;62.6;atigrado;0;466.4;3.9;sana;26.0;2;10;8.3;0;9.9;0;Buena
S00219;46.3;rojo;0;434.2;2.9;sana;28.4;1;12.2;5.1;0;7.9;0;Buena
S00220;152.8;cafe;0;492.3;3.7;sana;25.6;10;13.1;6.4;0;8.3;1;Buena
S00221;58.2;blanco;0;441.8;2.6;sana;38.2;1;12.4;0.3;0;7.0;0;Buena
S00222;111.7;blanco;1;437.8;2.3;nuche;26.2;6;15.9;10.3;0;6.1;0;Regular
S00223;150.1;blanco;0;495.1;3.4;sana;32.2;10;13.0;11.4;0;8.2;0;Buena
S00224;164.9;rojo;0;446.5;2.5;nuche;35.3;10;15.2;0.5;0;6.4;1;Regular
S00225;170.1;blanco;0;519.6;3.5;sana;38.3;10;14.3;8.2;0;7.1;0;Regular
S00226;140.4;rojo;0;490.7;2.9;sana;36.5;7;18.0;11.0;1;6.5;0;Regular
S00227;78.4;jaspeado;0;440.9;2.8;sana;27.5;3;11.8;6.6;0;6.4;0;Regular
S00228;110.2;rojo;1;491.2;3.2;sana;28.4;6;12.7;3.1;0;8.4;0;Buena
S00229;98.2;rojo;1;480.2;3.7;sana;32.0;6;11.2;11.1;0;7.9;0;Buena
S00230;141.7;blanco;0;431.8;1.8;nuche;29.7;8;18.2;13.5;1;3.6;1;Mala
S00231;181.8;crema;0;490.4;2.9;sana;27.6;11;15.4;7.1;0;6.9;0;Regular
S00232;125.4;blanco;0;468.0;3.8;sana;25.9;7;11.7;11.6;0;10.0;0;Buena
S00233;187.9;amarillo;0;500.7;3.3;sana;25.3;12;14.5;3.0;0;6.4;1;Regular
S00234;156.9;careto;1;501.0;3.2;sana;30.9;9;15.5;14.7;0;6.4;1;Regular
S00235;38.8;amarillo;0;456.5;3.2;sana;38.0;1;10.7;0.5;0;8.7;0;Excelente
S00236;116.7;negro;0;490.0;3.8;sana;39.9;5;14.9;0.3;0;9.3;1;Regular
S00237;39.4;negro;1;450.9;2.7;sana;36.7;1;11.8;0.6;0;9.1;0;Excelente
S00238;53.8;negro;1;440.3;3.4;sana;35.2;2;12.9;6.7;0;7.5;0;Buena
S00239;174.4;negro;0;470.1;2.5;sana;36.6;10;15.0;5.4;0;6.6;1;Regular
S00240;176.2;blanco;0;483.4;3.0;sana;24.2;12;15.6;1.2;1;5.6;0;Regular
S00241;106.3;atigrado;1;495.8;3.8;sana;37.0;5;12.4;1.4;0;7.5;1;Buena
S00242;57.3;blanco;0;409.1;3.0;nuche;39.3;2;13.8;5.5;0;7.5;0;Buena
S00243;109.6;negro;0;459.3;3.3;sana;26.1;6;13.3;6.4;0;7.8;0;Buena
S00244;156.0;blanco;0;455.7;2.6;nuche;35.6;9;14.5;0.9;0;5.9;0;Regular
S00245;116.8;blanco;0;449.3;3.0;sana;39.3;5;13.3;9.7;0;7.9;0;Buena
S00246;58.9;pardo;0;453.0;3.5;sana;24.2;2;11.0;8.3;0;8.7;0;Buena
S00247;114.1;negro;0;474.7;3.4;sana;25.3;6;14.3;14.0;0;7.1;0;Regular
S00248;41.5;negro;0;455.0;3.2;sana;39.4;1;10.3;3.5;0;7.0;0;Buena
S00249;87.1;blanco;0;441.0;2.8;sana;29.8;4;15.3;12.2;1;5.6;1;Mala
S00250;174.1;negro;0;482.9;3.3;sana;30.5;12;17.9;3.4;1;7.1;1;Mala
S00251;133.5;blanco;1;432.2;2.5;nuche;31.3;7;16.4;9.1;0;6.2;0;Regular
S00252;156.3;crema;0;470.8;3.2;sana;37.0;10;13.1;5.5;0;7.4;1;Buena
S00253;97.3;rojo;0;465.4;3.3;sana;26.2;5;10.9;3.4;0;7.3;0;Buena
S00254;68.3;blanco;0;433.7;2.9;nuche;26.1;3;15.2;10.8;0;5.4;0;Regular
S00255;181.2;blanco;0;474.5;2.6;nuche;32.5;11;17.5;0.9;0;6.1;0;Regular
S00256;187.5;blanco;1;499.1;3.7;sana;36.5;12;13.9;9.4;0;8.3;0;Buena
S00257;95.9;negro;0;493.6;3.7;sana;35.1;5;11.3;10.9;0;8.8;0;Buena
S00258;169.8;pardo;0;492.2;3.1;sana;34.1;10;13.1;9.5;0;8.5;0;Buena
S00259;47.5;atigrado;0;455.3;3.4;sana;24.7;2;12.6;8.9;0;6.6;1;Mala
S00260;43.8;crema;0;456.5;3.1;sana;31.8;1;12.0;2.2;0;8.2;0;Buena
S00261;118.7;amarillo;1;469.1;3.0;sana;29.3;6;13.6;11.2;0;7.8;0;Buena
S00262;104.6;crema;0;450.6;2.7;sana;39.3;5;15.3;8.3;0;7.9;0;Regular
S00263;93.7;pardo;0;469.8;3.3;sana;38.4;5;13.3;7.2;0;8.1;0;Buena
S00264;155.1;pardo;0;481.2;2.7;sana;32.6;9;14.4;10.8;0;7.2;1;Regular
S00265;49.5;amarillo;0;447.4;3.5;sana;33.2;2;10.6;0.2;0;8.5;0;Excelente
S00266;131.2;blanco;0;447.0;2.5;sana;25.2;8;16.2;7.1;1;6.1;1;Mala
S00267;118.2;amarillo;0;470.8;2.5;sana;32.7;6;15.1;5.6;1;6.2;0;Regular
S00268;55.0;amarillo;0;442.6;3.2;sana;39.2;1;13.1;8.5;0;8.0;0;Buena
